nom_standard,F18-24,population,POURCENTAGE_ETUDIANTS
Anse,1423.0,7754,18.351818416301263
Chambly,1865.0,10127,18.416115335242424
Donzère,1100.0,5963,18.447090390742915
Rombas,1821.0,9864,18.461070559610707
Meung-sur-Loire,1213.0,6567,18.47114359677174
Cavalaire-sur-Mer,1413.0,7642,18.489924103637794
Veauche,1665.0,9001,18.497944672814132
Saint-Pierre-lès-Nemours,1001.0,5408,18.509615384615387
Cloyes-les-Trois-Rivières,1041.0,5618,18.529725881096475
Lizy-sur-Ourcq,655.0,3529,18.560498724851232
Athée-sur-Cher,513.0,2760,18.586956521739133
Paulhan,748.0,4024,18.588469184890656
Camblanes-et-Meynac,566.0,3040,18.61842105263158
La Chevrolière,1110.0,5951,18.652327339942868
Saint-Didier-sur-Chalaronne,561.0,3003,18.681318681318682
Ploudaniel,701.0,3750,18.693333333333335
Hénin-Beaumont,4841.0,25886,18.701228463261995
Chavanoz,930.0,4961,18.74622052005644
Lannilis,1069.0,5694,18.77414822620302
Saint-Julien-de-Concelles,1410.0,7505,18.787475016655563
Mouriès,640.0,3400,18.823529411764707
Prades,1408.0,7476,18.833600856072767
Pont-Saint-Esprit,1975.0,10482,18.841824079374163
Montayral,503.0,2669,18.84600974147621
Pierrefeu-du-Var,1147.0,6083,18.85582771658721
Créhange,727.0,3854,18.863518422418267
Contes,1491.0,7877,18.928526088612415
La Suze-sur-Sarthe,853.0,4498,18.963983992885726
Bretignolles-sur-Mer,966.0,5093,18.967209895935596
Lentilly,1236.0,6510,18.986175115207374
Aigrefeuille-d'Aunis,827.0,4343,19.04213677181672
Puiseaux,650.0,3413,19.044828596542633
Erdre-en-Anjou,1097.0,5759,19.048445910748395
Lège-Cap-Ferret,1589.0,8334,19.06647468202544
Montberon,591.0,3099,19.070667957405615
Geudertheim,502.0,2631,19.08019764348157
Jarny,1564.0,8190,19.096459096459096
Cadaujac,1265.0,6623,19.100105692284465
Salses-le-Château,691.0,3616,19.109513274336283
Pers-Jussy,601.0,3145,19.109697933227345
Ardres,842.0,4404,19.118982742960945
Tonneins,1764.0,9213,19.14685770107457
Isigny-sur-Mer,688.0,3590,19.16434540389972
Courville-sur-Eure,539.0,2812,19.167852062588906
Communay,854.0,4455,19.16947250280584
Roquebrune-sur-Argens,2748.0,14335,19.169863969305894
Saint-Vincent-de-Tyrosse,1495.0,7798,19.171582457040266
Saint-Aubin-du-Cormier,777.0,4052,19.175715695952615
Le Lavandou,1147.0,5980,19.180602006688964
Champagne-sur-Seine,1219.0,6354,19.184765502045956
Combrit,813.0,4236,19.192634560906516
L'Arbresle,1236.0,6437,19.201491377971106
Bonnétable,720.0,3749,19.20512136569752
Bellevigny,1192.0,6193,19.247537542386564
Les Fins,608.0,3157,19.25878999049731
Nort-sur-Erdre,1774.0,9198,19.286801478582298
Noyen-sur-Sarthe,508.0,2633,19.293581466008355
Orée d'Anjou,3179.0,16468,19.304104930774834
Roye,1387.0,7183,19.3094807183628
Villeneuve-sur-Aisne,537.0,2780,19.31654676258993
