NOM,EPCI,F18-24
Saint-Laurent-d'Onay,200068781,5
Saint-Laurent-en-Royans,200067767,36
Saint-Marcel-lès-Sauzet,200040459,21
Saint-Marcel-lès-Valence,200068781,156
Saint-Martin-d'Août,200040491,7
Saint-Martin-en-Vercors,200067767,8
Saint-Martin-le-Colonel,200067767,3
Saint-Maurice-sur-Eygues,200068229,26
Saint-May,200068229,0
Saint-Michel-sur-Savasse,200068781,13
Saint-Nazaire-en-Royans,200067767,19
Saint-Nazaire-le-Désert,242600534,5
Saint-Pantaléon-les-Vignes,200040681,3
Saint-Paul-lès-Romans,200068781,36
Saint-Paul-Trois-Châteaux,200042901,245
Saint-Rambert-d'Albon,200040491,214
Saint-Restitut,200042901,29
Saint-Roman,242600534,4
Saint-Sauveur-en-Diois,200040509,1
Saint-Sauveur-Gouvernet,200068229,1
Saint-Sorlin-en-Valloire,200040491,50
Saint-Thomas-en-Royans,200067767,15
Saint-Uze,200040491,62
Saint-Vallier,200040491,156
Salettes,242600492,0
Salles-sous-Bois,200040681,2
Saou,242600252,10
Saulce-sur-Rhône,200040459,68
Sauzet,200040459,45
Savasse,200040459,25
Séderon,200068229,4
Serves-sur-Rhône,200073096,18
Solérieux,200042901,4
Souspierre,242600492,1
Soyans,242600252,5
Suze-la-Rousse,200042901,46
Suze,242600252,2
Tain-l'Hermitage,200073096,235
Taulignan,200040681,46
Tersanne,200040491,6
Teyssières,242600492,0
Les Tonils,242600492,1
La Touche,200040459,4
Les Tourrettes,200040459,38
Triors,200068781,24
Truinas,242600492,4
Tulette,200042901,42
Upie,200068781,36
Vachères-en-Quint,242600534,0
Valaurie,200040681,6
Valdrôme,242600534,2
Valence,200068781,3168
Valouse,200068229,0
Vassieux-en-Vercors,200067767,0
Vaunaveys-la-Rochette,242600252,9
Venterol,200068229,13
Vercheny,200040509,5
Verclause,200068229,0
Vercoiran,200068229,1
Véronne,200040509,0
Vers-sur-Méouge,200068229,0
Vesc,242600492,6
Villebois-les-Pins,200068765,0
Villefranche-le-Château,200068229,0
Villeperdrix,200068229,0
Vinsobres,200068229,17
Volvent,242600534,3
Granges-les-Beaumont,200068781,26
Gervans,200073096,21
Jaillans,200068781,22
Saint-Vincent-la-Commanderie,200068781,13
Aclou,200066413,7
Acon,200071454,15
Acquigny,200089456,57
Aigleville,200072312,11
Ailly,200089456,24
Aizier,200066405,2
Alizay,200089456,39
Ambenay,200066462,22
Amécourt,200071843,0
Amfreville-Saint-Amand,200066405,30
Amfreville-les-Champs,200070142,18
Amfreville-sous-les-Monts,200089456,7
Amfreville-sur-Iton,200089456,14
Andé,200089456,21
Les Andelys,200072312,293
Angerville-la-Campagne,200071454,37
Appeville-Annebault,200065787,18
Armentières-sur-Avre,200066462,5
Arnières-sur-Iton,200071454,54
Asnières,200066017,10
Le Val d'Hazey,200089456,185
Aulnay-sur-Iton,242700276,19
Autheuil-Authouillet,200089456,28
Authevernes,200071843,10
Les Authieux,200071454,2
Authou,200065787,8
Aviron,200071454,31
Chambois,200066462,46
Bacquepuis,242700607,10
Bacqueville,200070142,22
Bailleul-la-Vallée,200066017,3
Bâlines,200066462,12
Barc,200066413,31
Les Barils,200066462,6
Barneville-sur-Seine,200066405,9
Barquet,200066413,10
Barville,200066017,2
Les Baux-de-Breteuil,200066462,14
Les Baux-Sainte-Croix,200071454,12
Bazincourt-sur-Epte,200071843,20
Bazoques,200066017,5
Beaubray,242700276,10
Beauficel-en-Lyons,200070142,5
Mesnil-en-Ouche,200066413,97
Beaumontel,200066413,15
Beaumont-le-Roger,200066413,82
Le Bec-Hellouin,200066413,10
Le Bec-Thomas,200089456,1
Bémécourt,200066462,12
Bérengeville-la-Campagne,242700607,12
Bernay,200066413,328
Bernienville,242700607,6
Bernouville,200071843,6
Berthouville,200066413,6
Les Monts du Roumois,200066405,23
Berville-la-Campagne,200066413,6
Berville-sur-Mer,200066827,16
Beuzeville,200066827,174
Bézu-la-Forêt,200071843,4
Bézu-Saint-Éloi,200071843,41
Bois-Anzeray,200066462,3
Bois-Arnault,200066462,27
Frenelles-en-Vexin,200072312,44
Le Bois-Hellain,200066017,2
Bois-Jérôme-Saint-Ouen,200072312,19
Bois-le-Roi,200071454,31
Boisney,200066413,3
Bois-Normand-près-Lyre,200066462,7
Boisset-les-Prévanches,200072312,13
Boissey-le-Châtel,200066405,20
La Boissière,200072312,7
Boissy-Lamberville,200066017,5
Boncourt,200071454,3
La Bonneville-sur-Iton,242700276,69
Bonneville-Aptot,200065787,8
Flancourt-Crescy-en-Roumois,200066405,27
Thénouville,200066405,24
Bosroumois,200066405,72
Bosgouet,200066405,17
Bosquentin,200070142,3
Bosrobert,200066413,7
Les Bottereaux,200066462,6
Bouafles,200072312,14
Bouchevilliers,200069730,2
Le Boulay-Morin,200071454,11
Boulleville,200066827,25
Bouquelon,200065787,9
Bouquetot,200066405,25
Bourg-Achard,200066405,122
Bourg-Beaudouin,200070142,17
Grand Bourgtheroulde,200066405,96
Bournainville-Faverolles,200066017,8
Bourneville-Sainte-Croix,200066405,21
Bourth,200066462,38
Bray,200066413,17
Brestot,200065787,15
Bretagnolles,200071454,5
Breteuil,200066462,110
Brétigny,200066413,6
Breuilpont,200072312,23
Breux-sur-Avre,200066462,4
Brionne,200066413,153
Broglie,200066413,39
Brosville,242700607,12
Bueil,200072312,40
Burey,242700276,6
Caillouet-Orgeville,200072312,21
Cailly-sur-Eure,200089456,7
Calleville,200066413,17
Campigny,200065787,27
Canappeville,242700607,32
Caorches-Saint-Nicolas,200066413,13
Capelle-les-Grands,200066413,11
Caugé,200071454,20
Caumont,200066405,24
Cauverville-en-Roumois,200066405,5
Cesseville,242700607,15
Chaignes,200072312,5
Chaise-Dieu-du-Theil,200066462,5
Chamblac,200066413,11
Chambord,200066462,3
Chambray,200072312,11
Champ-Dolent,242700276,2
Champenard,200089456,8
Champigny-la-Futelaye,200071454,5
La Chapelle-Bayvel,200066017,9
La Chapelle-du-Bois-des-Faulx,200071454,16
La Chapelle-Gauthier,200066413,8
La Chapelle-Hareng,200066017,3
Charleval,200070142,51
Château-sur-Epte,200071843,10
Chauvincourt-Provemont,200071843,12
Chavigny-Bailleul,200071454,17
Chennebrun,200066462,7
Chéronvilliers,200066462,6
Marbois,200066462,29
Cierrey,200071454,12
Claville,242700276,20
Collandres-Quincarnon,242700276,5
Colletot,200065787,6
Combon,200066413,21
Conches-en-Ouche,242700276,173
Condé-sur-Risle,200065787,16
Connelles,200089456,2
Conteville,200066827,21
Cormeilles,200066017,43
Le Cormier,200072312,8
Corneville-la-Fouquetière,200066413,4
Corneville-sur-Risle,200065787,21
Coudray,200071843,14
Coudres,200071454,18
Courbépine,200066413,20
Courcelles-sur-Seine,200089456,52
Courdemanche,200071454,12
Courteilles,200066462,2
La Couture-Boussey,200071454,68
Crasville,200089456,5
Crestot,242700607,16
Criquebeuf-la-Campagne,242700607,10
Criquebeuf-sur-Seine,200089456,46
La Croisille,242700276,9
Croisy-sur-Eure,200072312,5
Clef Vallée d'Eure,200089456,63
Crosville-la-Vieille,242700607,15
Croth,200071454,41
Cuverville,200072312,8
Les Damps,200089456,46
Mesnils-sur-Iton,200066462,237
Dangu,200071843,20
Dardez,200071454,3
Daubeuf-la-Campagne,242700607,5
Daubeuf-près-Vatteville,200072312,11
Douains,200072312,11
Doudeauville-en-Vexin,200071843,7
Douville-sur-Andelle,200070142,18
Droisy,200071454,13
Drucourt,200066017,12
Duranville,200066017,4
Écaquelon,200065787,12
Écardenville-la-Campagne,200066413,17
Écauville,242700607,1
Vexin-sur-Epte,200072312,122
Écouis,200072312,18
Ecquetot,242700607,8
Émalleville,200071454,7
Émanville,242700607,18
Épaignes,200066017,37
Épégard,242700607,8
Épieds,200071454,7
Épreville-en-Lieuvin,200066017,2
Épreville-près-le-Neubourg,242700607,8
Étrépagny,200071843,145
Étréville,200066405,17
Éturqueraye,200066405,7
Évreux,200071454,2415
Ézy-sur-Eure,200040277,101
Fains,200072312,11
Farceaux,200071843,12
Fatouville-Grestain,200066827,18
Fauville,200071454,18
Faverolles-la-Campagne,242700276,6
Le Favril,200066017,6
Ferrières-Haut-Clocher,242700276,31
Ferrières-Saint-Hilaire,200066413,3
La Ferrière-sur-Risle,242700276,3
Feuguerolles,242700607,4
Le Fidelaire,242700276,20
Fiquefleur-Équainville,200066827,18
Fleury-la-Forêt,200070142,3
Fleury-sur-Andelle,200070142,63
Flipou,200070142,12
Folleville,200066017,2
Fontaine-Bellenger,200089456,21
Fontaine-l'Abbé,200066413,13
Fontaine-la-Louvet,200066017,8
Fontaine-sous-Jouy,200071454,11
La Forêt-du-Parc,200071454,15
Fort-Moville,200066017,18
Foucrainville,200071454,3
Foulbec,200066827,12
Fouqueville,242700607,10
Le Perrey,200065787,25
Franqueville,200066413,6
Freneuse-sur-Risle,200065787,4
Fresne-Cauverville,200066017,0
Fresney,200071454,15
Gadencourt,200072312,7
Gaillon,200089456,252
Gamaches-en-Vexin,200071843,6
La Baronnie,200071454,20
Garennes-sur-Eure,200071454,40
Gasny,200072312,112
Gauciel,200071454,25
Gaudreville-la-Rivière,242700276,6
Gauville-la-Campagne,200071454,17
Gisors,200071843,426
Giverny,200072312,8
Giverville,200066017,13
Glisolles,242700276,12
Glos-sur-Risle,200065787,16
La Goulafrière,200066413,1
Goupil-Othon,200066413,24
Gournay-le-Guérin,200066462,0
Val d'Orger,200070142,23
Grand-Camp,200066413,15
Graveron-Sémerville,242700607,8
Gravigny,200071454,173
Grosley-sur-Risle,200066413,19
Grossœuvre,200071454,31
Le Bosc du Theil,242700607,38
Guerny,200071843,4
Guichainville,200071454,83
Guiseniers,200072312,11
L'Habit,200071454,10
Hacqueville,200071843,11
Harcourt,200066413,22
Hardencourt-Cocherel,200072312,2
La Harengère,200089456,11
Harquency,200072312,8
Hauville,200066405,32
La Haye-Aubrée,200066405,10
La Haye-de-Calleville,200066413,7
La Haye-de-Routot,200066405,2
La Haye-du-Theil,242700607,5
La Haye-le-Comte,200089456,3
La Haye-Malherbe,200089456,31
La Haye-Saint-Sylvestre,200066462,8
Hébécourt,200071843,17
Hecmanville,200066413,2
Hécourt,200072312,10
Hectomare,242700607,10
Hennezis,200072312,16
Herqueville,200089456,6
Heubécourt-Haricourt,200072312,7
Heudebouville,200089456,34
Heudicourt,200071843,20
Heudreville-en-Lieuvin,200066017,1
Heudreville-sur-Eure,200089456,26
La Heunière,200072312,11
Heuqueville,200072312,9
Les Hogues,200070142,17
Hondouville,242700607,19
Honguemare-Guenouville,200066405,16
L'Hosmes,200066462,0
Houetteville,242700607,2
Houlbec-Cocherel,200072312,24
La Houssaye,200066413,3
Houville-en-Vexin,200070142,4
Huest,200071454,17
Igoville,200089456,51
Illeville-sur-Montfort,200065787,18
Illiers-l'Évêque,200071454,24
Incarville,200089456,32
Irreville,200071454,12
Iville,242700607,18
Ivry-la-Bataille,200040277,78
Jouy-sur-Eure,200071454,11
Juignettes,200066462,8
Jumelles,200071454,8
La Lande-Saint-Léger,200066017,8
Le Landin,200066405,5
Launay,200066413,8
Léry,200089456,62
Letteguives,200070142,5
Lieurey,200066017,44
Lignerolles,200071454,15
Lilly,200070142,4
Lisors,200070142,6
Livet-sur-Authou,200066413,1
Longchamps,200071843,14
Lorleau,200070142,4
Louversey,242700276,8
Louviers,200089456,749
Louye,200040277,3
Lyons-la-Forêt,200070142,17
La Madeleine-de-Nonancourt,200040277,28
Mainneville,200071843,9
Malleville-sur-le-Bec,200066413,4
Malouy,200066017,3
Mandeville,200089456,7
Mandres,200066462,3
Manneville-la-Raoult,200066827,12
Manneville-sur-Risle,200065787,30
Le Manoir,200089456,47
Marais-Vernier,200065787,6
Marbeuf,242700607,10
Marcilly-la-Campagne,200071454,34
Marcilly-sur-Eure,200071454,40
Martagny,200071843,2
Martainville,200066017,14
Martot,200089456,18
Mélicourt,200066413,3
Ménesqueville,200070142,7
Ménilles,200072312,39
Menneval,200066413,36
Mercey,200072312,0
Merey,200072312,7
Le Mesnil-Fuguet,200071454,3
Le Mesnil-Jourdain,200089456,4
Mesnil-Rousset,200066413,1
Mesnil-sous-Vienne,200071843,2
Mesnil-sur-l'Estrée,200071454,24
Mesnil-Verclives,200072312,7
Mézières-en-Vexin,200072312,10
Miserey,200071454,21
Moisville,200071454,4
Terres de Bord,200089456,34
Montfort-sur-Risle,200065787,20
Montreuil-l'Argillé,200066413,21
Morainville-Jouveaux,200066017,7
Morgny,200071843,12
Morsan,200066413,1
Mouettes,200071454,24
Mouflaines,200071843,10
Mousseaux-Neuville,200071454,20
Muids,200072312,25
Muzy,200071454,10
Nagel-Séez-Mesnil,242700276,8
Nassandres sur Risle,200066413,52
Neaufles-Saint-Martin,200071843,33
Neaufles-Auvergny,200066462,11
Le Neubourg,242700607,168
Neuilly,200072312,11
La Neuve-Grange,200071843,17
La Neuve-Lyre,200066462,13
La Neuville-du-Bosc,200066413,17
Neuville-sur-Authou,200066413,10
Noards,200066017,2
La Noë-Poulain,200066017,3
Nogent-le-Sec,242700276,11
Nojeon-en-Vexin,200071843,11
Nonancourt,200040277,98
Normanville,200071454,23
Notre-Dame-de-l'Isle,200072312,15
Notre-Dame-d'Épine,200066413,1
Notre-Dame-du-Hamel,200066413,4
Le Noyer-en-Ouche,200066413,1
Noyers,200071843,3
Ormes,242700276,8
Le Val-Doré,242700276,24
Pacy-sur-Eure,200072312,142
Parville,200071454,7
Perriers-sur-Andelle,200070142,56
Perruel,200070142,20
Piencourt,200066017,5
Pinterville,200089456,18
Piseux,200066462,14
Pîtres,200089456,96
Les Places,200066017,3
Plainville,200066413,2
Le Planquay,200066017,3
Plasnes,200066413,18
Le Plessis-Grohan,200071454,22
Le Plessis-Hébert,200072312,9
Le Plessis-Sainte-Opportune,200066413,9
Pont-Audemer,200065787,410
Pont-Authou,200065787,11
Pont-de-l'Arche,200089456,144
Pont-Saint-Pierre,200070142,51
Porte-de-Seine,200089456,3
Portes,242700276,3
Port-Mort,200072312,10
Poses,200089456,30
La Poterie-Mathieu,200066017,3
Les Préaux,200065787,9
Pressagny-l'Orgueilleux,200072312,11
Prey,200071454,21
Puchay,200071843,15
Pullay,200066462,20
La Pyle,242700607,6
Quatremare,200089456,12
Quillebeuf-sur-Seine,200065787,23
Quittebeuf,242700607,16
Radepont,200070142,18
Renneville,200070142,7
Reuilly,200071454,13
Richeville,200071843,7
Romilly-la-Puthenaye,200066413,1
Romilly-sur-Andelle,200070142,79
La Roquette,200072312,6
Rosay-sur-Lieure,200070142,5
Rougemontiers,200065787,28
Rouge-Perriers,200066413,2
Routot,200065787,77
Rouvray,200072312,3
Rugles,200066462,77
Sacquenville,200071454,27
Saint-Agnan-de-Cernières,200066413,0
Saint-André-de-l'Eure,200071454,125
Saint-Antonin-de-Sommaire,200066462,1
Saint-Aubin-d'Écrosville,242700607,16
Saint-Aubin-de-Scellon,200066017,3
Saint-Aubin-du-Thenney,200066413,9
Treis-Sants-en-Ouche,200066413,17
Saint-Aubin-sur-Gaillon,200089456,51
Saint-Aubin-sur-Quillebeuf,200066405,14
Saint-Benoît-des-Ombres,200066017,4
Saint-Christophe-sur-Avre,200066462,1
Saint-Christophe-sur-Condé,200066017,6
Sainte-Colombe-la-Commanderie,242700607,22
Sainte-Colombe-près-Vernon,200072312,2
Saint-Cyr-de-Salerne,200066413,4
Le Vaudreuil,200089456,104
Saint-Cyr-la-Campagne,200089456,10
Saint-Denis-d'Augerons,200066413,3
Saint-Denis-des-Monts,200066405,5
Saint-Denis-le-Ferment,200071843,9
Saint-Didier-des-Bois,200089456,16
Saint-Élier,242700276,11
Saint-Éloi-de-Fourques,200066413,12
Saint-Étienne-du-Vauvray,200089456,17
Saint-Étienne-l'Allier,200066017,11
Saint-Étienne-sous-Bailleul,200089456,14
Sainte-Geneviève-lès-Gasny,200072312,19
Le Mesnil-Saint-Jean,200066017,4
Saint-Georges-du-Vièvre,200066017,23
Saint-Georges-Motel,200040277,20
Saint-Germain-de-Fresney,200071454,8
Saint-Germain-de-Pasquier,200089456,4
Saint-Germain-des-Angles,200071454,2
Saint-Germain-la-Campagne,200066017,12
Saint-Germain-sur-Avre,200071454,34
Saint-Grégoire-du-Vièvre,200066017,6
Saint-Jean-du-Thenney,200066413,6
Saint-Julien-de-la-Liègue,200089456,7
La Chapelle-Longueville,200072312,102
Saint-Laurent-des-Bois,200071454,6
Saint-Laurent-du-Tencement,200066413,1
Saint-Léger-de-Rôtes,200066413,4
Saint-Léger-du-Gennetey,200066405,7
Saint-Luc,200071454,5
Saint-Maclou,200066827,18
Saint-Marcel,200072312,138
Saint-Mards-de-Blacarville,200065787,18
Saint-Mards-de-Fresne,200066017,7
Le Lesme,200066462,13
Sainte-Marie-de-Vatimesnil,200071843,5
Sainte-Marthe,242700276,9
Saint-Martin-du-Tilleul,200066413,6
Saint-Martin-la-Campagne,200071454,3
Saint-Martin-Saint-Firmin,200066017,9
Saint-Meslin-du-Bosc,242700607,6
Sainte-Opportune-du-Bosc,242700607,14
Sainte-Opportune-la-Mare,200066405,7
Sainte-Marie-d'Attez,200066462,19
Saint-Ouen-de-Pontcheuil,200066405,3
Saint-Ouen-de-Thouberville,200066405,70
Saint-Ouen-du-Tilleul,200066405,37
Saint-Paul-de-Fourques,200066413,3
Saint-Philbert-sur-Boissey,200066405,1
Saint-Philbert-sur-Risle,200065787,20
Saint-Pierre-de-Bailleul,200089456,23
Saint-Pierre-de-Cernières,200066413,8
Saint-Pierre-de-Cormeilles,200066017,11
Saint-Pierre-de-Salerne,200066413,4
Saint-Pierre-des-Fleurs,200066405,32
Saint-Pierre-des-Ifs,200066017,7
Saint-Pierre-du-Bosguérard,200066405,35
Saint-Pierre-du-Val,200066827,14
Saint-Pierre-du-Vauvray,200089456,39
Saint-Pierre-la-Garenne,200089456,22
Saint-Samson-de-la-Roque,200065787,6
Saint-Sébastien-de-Morsent,200071454,152
Saint-Siméon,200066017,8
Saint-Sulpice-de-Grimbouville,200066827,2
Saint-Sylvestre-de-Cormeilles,200066017,5
Saint-Symphorien,200065787,19
Saint-Victor-de-Chrétienville,200066413,10
Saint-Victor-d'Épine,200066413,7
Saint-Victor-sur-Avre,200066462,0
Saint-Vigor,200071454,10
Saint-Vincent-des-Bois,200072312,4
Saint-Vincent-du-Boulay,200066017,8
Sancourt,200071843,9
Sassey,200071454,2
La Saussaye,200089456,43
Saussay-la-Campagne,200071843,15
Sébécourt,242700276,11
Selles,200065787,14
Serez,200071454,5
Serquigny,200066413,38
Surtauville,200089456,7
Surville,200089456,26
Suzay,200072312,8
Le Theil-Nolent,200066017,7
Thiberville,200066017,54
Thibouville,200066413,4
Thierville,200065787,4
Le Thil,200071843,14
Les Thilliers-en-Vexin,200071843,6
Le Thuit,200072312,4
Le Thuit de l'Oison,200066405,87
Tilleul-Dame-Agnès,242700276,5
Le Tilleul-Lambert,242700607,9
Tillières-sur-Avre,200066462,31
Tilly,200072312,24
Tocqueville,200066405,0
Le Torpt,200066017,10
Touffreville,200070142,7
Tournedos-Bois-Hubert,242700607,9
Tourneville,200071454,3
Tourville-la-Campagne,242700607,25
Tourville-sur-Pont-Audemer,200065787,29
Toutainville,200065787,35
Le Tremblay-Omonville,242700607,6
La Trinité,200071454,4
La Trinité-de-Réville,200066413,2
La Trinité-de-Thouberville,200066405,10
Triqueville,200065787,4
Le Troncq,242700607,2
Le Tronquay,200070142,11
Trouville-la-Haule,200066405,18
La Vacherie,200089456,11
Valailles,200066413,9
Le Val-David,200071454,13
Valletot,200066405,13
Vandrimare,200070142,30
Vannecrocq,200066017,2
Vascœuil,200070142,10
Vatteville,200072312,5
Vaux-sur-Eure,200072312,7
Les Trois Lacs,200089456,0
Venon,242700607,11
Les Ventes,200071454,15
Verneuil d'Avre et d'Iton,200066462,240
Verneusses,200066413,5
Vernon,200072312,892
Vesly,200071843,20
Vézillon,200072312,6
Le Vieil-Évreux,200071454,31
La Vieille-Lyre,200066462,11
Vieux-Port,200066405,0
Villegats,200072312,10
Villers-en-Vexin,200071843,3
Villers-sur-le-Roule,200089456,20
Villettes,242700607,2
Sylvains-Lès-Moulins,200066462,23
Villez-sous-Bailleul,200072312,7
Villez-sur-le-Neubourg,242700607,5
Villiers-en-Désœuvre,200072312,19
Vironvay,200089456,8
Vitot,242700607,6
Voiscreville,200066405,3
Vraiville,200089456,13
Val-de-Reuil,200089456,573
Abondant,200040277,63
Allainville,200040277,1
Allonnes,200033181,11
Alluyes,242852465,13
Amilly,200033181,32
Anet,200040277,75
Ardelles,200040277,8
Ardelu,200070159,2
Argenvilliers,200006971,6
Vald'Yerre,200069961,70
Aunay-sous-Auneau,200069953,41
Aunay-sous-Crécy,200040277,21
Auneau-Bleury-Saint-Symphorien,200069953,207
Les Autels-Villevillon,200006971,0
Authon-du-Perche,200006971,39
Baigneaux,200070159,3
Bailleau-le-Pin,200058360,29
Bailleau-l'Évêque,200033181,13
Bailleau-Armenonville,200069953,34
Barjouville,200033181,38
Barmainville,200070159,4
Baudreville,200070159,4
La Bazoche-Gouet,200069961,25
Bazoches-en-Dunois,200070159,8
Bazoches-les-Hautes,200070159,6
Beauche,200040277,5
Beaumont-les-Autels,200006971,11
Beauvilliers,200070159,10
Belhomert-Guéhouville,200070167,15
Berchères-Saint-Germain,200033181,19
Berchères-les-Pierres,200033181,22
Berchères-sur-Vesgre,200040277,27
Bérou-la-Mulotière,200040277,9
Béthonvilliers,200006971,1
Béville-le-Comte,200069953,40
Billancelles,200058360,4
Blandainville,200058360,4
Boissy-en-Drouais,200040277,10
Boissy-lès-Perche,200069912,7
Boisville-la-Saint-Père,200033181,21
La Bourdinière-Saint-Loup,200033181,19
Boncé,200033181,9
Boncourt,200040277,4
Bonneval,242852465,126
Bouglainval,200033181,15
Le Boullay-les-Deux-Églises,200040277,5
Le Boullay-Mivoye,200040277,18
Le Boullay-Thierry,200040277,13
Boutigny-Prouais,247800550,36
Bouville,242852465,20
Bréchamps,200069953,7
Brezolles,200040277,75
Briconville,200033181,5
Brou,200069961,72
Broué,200040277,36
Bû,200040277,69
Bullainville,242852465,2
Cernay,200058360,5
Challet,200033181,14
Champhol,200033181,95
Champrond-en-Gâtine,200070167,14
Champrond-en-Perchet,200006971,5
Champseru,200033181,7
La Chapelle-d'Aunainville,200069953,7
La Chapelle-du-Noyer,200069961,25
La Chapelle-Forainvilliers,200040277,1
La Chapelle-Fortin,200069912,5
Chapelle-Guillaume,200069961,1
Chapelle-Royale,200006971,3
Charbonnières,200006971,4
Charonville,200058360,8
Charpont,200040277,10
Chartainvilliers,200033181,14
Chartres,200033181,1659
Chassant,200070167,3
Châtaincourt,200040277,2
Châteaudun,200069961,477
Châteauneuf-en-Thymerais,200040277,99
Les Châtelets,200040277,4
Les Châtelliers-Notre-Dame,200058360,4
Châtenay,200069953,5
Chaudon,200069953,43
Chauffours,200033181,9
La Chaussée-d'Ivry,200040277,37
Cherisy,200040277,46
Chuisnes,200058360,22
Cintray,200033181,10
Clévilliers,200033181,20
Cloyes-les-Trois-Rivières,200069961,122
Coltainville,200033181,22
Combres,200070167,9
Conie-Molitard,200069961,5
Corancez,200033181,7
Cormainville,200070159,8
Les Corvées-les-Yys,200070167,5
Le Coudray,200033181,119
Coudray-au-Perche,200006971,4
Coulombs,200069953,34
Courbehaye,200070159,4
Courville-sur-Eure,200058360,76
Crécy-Couvé,200040277,4
Croisilles,200069953,12
La Croix-du-Perche,200070167,2
Crucey-Villages,200040277,12
Dambron,200070159,4
Dammarie,200033181,39
Dampierre-sous-Brou,200069961,9
Dampierre-sur-Avre,200040277,19
Dancy,242852465,4
Dangeau,242852465,37
Dangers,200033181,6
Denonville,200033181,15
Digny,200069912,33
Donnemain-Saint-Mamès,200069961,14
Dreux,200040277,1358
Droue-sur-Drouette,200069953,21
Écluzelles,200040277,2
Écrosnes,200069953,15
Épeautrolles,200058360,7
Épernon,200069953,241
Ermenonville-la-Grande,200033181,9
Ermenonville-la-Petite,200058360,1
Escorpain,200040277,7
Les Étilleux,200006971,4
Faverolles,200069953,31
Favières,200040277,8
Le Favril,200058360,9
La Ferté-Vidame,200069912,15
Fessanvilliers-Mattanvilliers,200040277,6
Flacey,242852465,0
Fontaine-la-Guyon,200058360,54
Fontaine-les-Ribouts,200040277,9
Fontaine-Simon,200070167,21
Fontenay-sur-Conie,200070159,4
Fontenay-sur-Eure,200033181,17
La Framboisière,200069912,7
Francourville,200033181,20
Frazé,200070167,9
Fresnay-le-Comte,200033181,4
Fresnay-le-Gilmert,200033181,5
Fresnay-l'Évêque,200070159,18
Friaize,200058360,6
Fruncé,200058360,12
Gallardon,200069953,113
Garancières-en-Beauce,200070159,12
Garancières-en-Drouais,200040277,9
Garnay,200040277,27
Gas,200069953,17
Gasville-Oisème,200033181,24
La Gaudaine,200006971,2
Le Gault-Saint-Denis,242852465,15
Gellainville,200033181,19
Germainville,200040277,5
Gilles,200040277,14
Gohory,200069961,4
Gommerville,200070159,13
Gouillons,200070159,5
Goussainville,247800550,44
Guainville,200040277,16
Le Gué-de-Longroi,200069953,33
Guilleville,200070159,3
Guillonville,200070159,10
Hanches,200069953,69
Happonvilliers,200070167,8
Havelu,247800550,4
Houville-la-Branche,200033181,8
Houx,200033181,21
Illiers-Combray,200058360,103
Intréville,200070159,1
Jallans,200069961,14
Janville-en-Beauce,200070159,65
Jaudrais,200069912,9
Jouy,200033181,36
Lamblore,200069912,6
Landelles,200058360,15
Laons,200040277,27
Léthuin,200069953,7
Levainville,200069953,6
Lèves,200033181,152
Levesville-la-Chenard,200070159,2
Logron,200069961,8
Loigny-la-Bataille,200070159,3
Lormaye,200069953,21
La Loupe,200070167,123
Louville-la-Chenard,200070159,2
Louvilliers-en-Drouais,200040277,3
Louvilliers-lès-Perche,200069912,5
Lucé,200033181,596
Luigny,200006971,5
Luisant,200033181,168
Lumeau,200070159,3
Luplanté,200058360,18
Luray,200040277,52
Magny,200058360,12
Maillebois,200040277,27
Maintenon,200033181,123
Mainvilliers,200033181,412
Maisons,200069953,14
La Mancelière,200040277,1
Manou,200070167,16
Marboué,200069961,27
Marchéville,200058360,12
Marchezais,200040277,16
Arcisses,200006971,52
Marolles-les-Buis,200070167,5
Marville-Moutiers-Brûlé,200040277,23
Meaucé,200070167,9
Méréglise,200058360,4
Mérouville,200070159,7
Meslay-le-Grenet,200033181,2
Meslay-le-Vidame,200033181,12
Le Mesnil-Simon,200040277,14
Le Mesnil-Thomas,200069912,8
Mévoisins,200069953,14
Mézières-en-Drouais,200040277,34
Miermaigne,200006971,3
Mignières,200033181,35
Mittainvilliers-Vérigny,200033181,13
Moinville-la-Jeulin,200033181,7
Moléans,200069961,10
Mondonville-Saint-Jean,200069953,1
Montboissier,242852465,4
Montharville,242852465,1
Montigny-le-Chartif,200058360,11
Montigny-sur-Avre,200066462,4
Montireau,200070167,0
Montlandon,200070167,5
Montreuil,200040277,7
Morainville,200069953,0
Morancez,200033181,36
Moriers,242852465,7
Morvilliers,200069912,4
Mottereau,200058360,7
Moulhard,200069961,3
Moutiers,200070159,8
Néron,200069953,13
Neuvy-en-Beauce,200070159,2
Neuvy-en-Dunois,242852465,6
Nogent-le-Phaye,200033181,38
Nogent-le-Roi,200069953,144
Nogent-le-Rotrou,200006971,223
Nogent-sur-Eure,200033181,10
Nonvilliers-Grandhoux,200070167,6
Nottonville,200070159,1
Oinville-Saint-Liphard,200070159,6
Oinville-sous-Auneau,200033181,10
Ollé,200033181,17
Orgères-en-Beauce,200070159,31
Ormoy,200040277,7
Orrouer,200058360,6
Ouarville,200070159,11
Ouerre,200040277,11
Oulins,200040277,27
Oysonville,200070159,10
Péronville,200070159,5
Pierres,200069953,66
Les Pinthières,200069953,4
Poinville,200070159,3
Poisvilliers,200033181,5
