INSEE;NOM;EPCI;DEP;REG;F0-2;F3-5;F6-10;F11-17;F18-24;F25-39;F40-54;F55-64;F65-79;F80+;;H0-2;H3-5;H6-10;H11-17;H18-24;H25-39;H40-54;H55-64;H65-79;H80+
1053;Bourg-en-Bresse;200071751;D1;R84;646;685;1165;1567;2226;3583;3690;2690;3519;2301;;694;747;1127;1728;2317;3669;3522;2156;2557;1092
1054;Bourg-Saint-Christophe;240100883;D1;R84;24;30;61;88;27;155;182;78;69;25;;30;33;66;85;34;139;182;88;68;17
1056;Boyeux-Saint-Jérôme;200029999;D1;R84;6;10;9;10;5;37;32;19;26;8;;10;12;13;16;6;33;40;15;33;8
1057;Boz;200071371;D1;R84;11;5;18;23;13;47;60;31;28;14;;6;12;30;33;10;44;61;29;31;8
1058;Brégnier-Cordon;200040350;D1;R84;12;14;28;34;27;67;83;51;65;25;;14;11;27;58;19;71;79;52;66;16
1060;Brénod;200042935;D1;R84;5;9;17;18;11;36;48;34;41;35;;6;4;12;21;16;36;48;32;41;15
1061;Brens;200040350;D1;R84;9;24;35;66;28;77;133;94;98;17;;13;13;37;59;24;80;122;88;104;12
1062;Bressolles;240100610;D1;R84;17;18;30;42;23;100;97;59;63;12;;15;26;39;54;29;95;99;57;56;18
1063;Brion;200042935;D1;R84;4;8;18;42;19;37;64;31;56;16;;12;7;18;18;16;33;63;32;53;14
1064;Briord;240100883;D1;R84;21;18;42;62;26;115;121;86;46;16;;13;21;49;62;23;104;144;67;53;6
1065;Buellas;200071751;D1;R84;34;39;55;80;33;159;192;132;143;46;;29;35;61;92;48;157;182;129;146;32
1066;La Burbanche;200040350;D1;R84;1;2;5;4;2;9;6;7;5;1;;2;0;6;2;2;4;12;10;8;1
1067;Ceignes;200042935;D1;R84;7;3;12;9;8;23;31;25;9;2;;6;4;6;12;7;28;32;18;12;1
1068;Cerdon;200029999;D1;R84;8;8;20;33;29;60;77;42;50;62;;12;13;23;39;22;61;97;46;50;19
1069;Certines;200071751;D1;R84;27;25;47;73;48;138;176;117;96;21;;26;30;45;72;48;124;181;116;87;18
1071;Cessy;240100750;D1;R84;96;127;178;218;160;592;659;239;216;47;;111;117;204;249;166;578;614;269;169;37
1072;Ceyzériat;200071751;D1;R84;42;51;105;152;80;275;341;234;254;140;;55;61;122;168;92;244;321;200;186;78
1073;Ceyzérieu;200040350;D1;R84;5;19;24;48;20;72;98;90;92;28;;17;16;26;37;28;78;94;76;103;24
1074;Chalamont;200069193;D1;R84;48;52;92;115;66;245;262;136;178;112;;47;61;88;139;111;215;266;140;145;59
1075;Chaleins;200070118;D1;R84;22;29;48;61;47;134;149;98;81;14;;31;28;69;61;60;134;160;89;77;10
1076;Chaley;240100883;D1;R84;2;0;3;2;5;10;11;13;17;5;;1;1;3;3;0;8;8;12;16;3
1077;Challes-la-Montagne;200029999;D1;R84;4;4;2;8;3;16;17;10;22;7;;3;5;7;7;4;16;23;4;26;3
1078;Challex;240100750;D1;R84;24;36;63;71;36;149;193;86;96;74;;33;35;64;62;40;161;177;88;77;32
1079;Champagne-en-Valromey;200040350;D1;R84;12;16;26;36;14;47;74;61;62;90;;5;11;33;43;14;41;70;58;78;32
1080;Champdor-Corcelles;200042935;D1;R84;10;8;27;26;14;52;76;43;57;14;;8;14;22;30;10;47;69;41;48;18
1081;Champfromier;240100891;D1;R84;10;14;17;26;12;70;80;46;49;22;;12;13;25;39;23;60;75;56;54;23
1082;Chanay;240100891;D1;R84;12;16;23;64;20;55;67;35;30;10;;13;14;17;53;26;55;55;35;32;6
1083;Chaneins;200069193;D1;R84;10;12;42;52;26;102;102;51;51;18;;19;27;37;51;25;96;110;66;49;16
1084;Chanoz-Châtenay;200070555;D1;R84;21;25;28;47;17;99;91;46;50;20;;29;21;48;47;20;92;101;45;59;15
1085;La Chapelle-du-Châtelard;200069193;D1;R84;5;4;18;21;11;41;40;21;29;7;;7;3;15;22;13;41;45;25;24;6
1087;Charix;200042935;D1;R84;6;3;9;14;5;21;31;17;23;6;;4;1;11;18;7;24;34;15;23;6
1088;Charnoz-sur-Ain;240100883;D1;R84;18;14;19;40;31;53;134;65;46;13;;8;17;26;50;35;74;132;73;43;10
1089;Château-Gaillard;240100883;D1;R84;49;57;108;105;56;239;240;133;123;34;;51;69;82;115;71;220;248;127;100;26
1090;Châtenay;200069193;D1;R84;6;2;17;20;12;30;31;25;28;11;;7;11;11;16;5;28;31;25;37;5
1092;Châtillon-la-Palud;200069193;D1;R84;32;29;61;81;37;146;190;92;115;33;;39;48;54;70;54;137;180;89;102;30
1093;Châtillon-sur-Chalaronne;200069193;D1;R84;59;64;141;195;174;354;471;335;470;386;;62;67;155;229;181;379;423;297;351;174
1094;Chavannes-sur-Reyssouze;200071371;D1;R84;9;13;33;33;16;57;82;52;55;31;;11;15;22;36;28;63;80;56;49;22
1095;Nivigne et Suran;200071751;D1;R84;12;17;28;50;28;63;93;53;63;16;;15;8;29;47;32;60;87;56;72;15
1096;Chaveyriat;200070555;D1;R84;15;32;38;45;32;89;101;84;51;28;;17;19;40;51;32;92;108;85;57;18
1098;Chazey-Bons;200040350;D1;R84;22;26;39;52;29;105;115;76;86;32;;25;24;48;51;34;102;122;77;80;30
1099;Chazey-sur-Ain;240100883;D1;R84;28;26;51;79;37;155;177;100;82;58;;24;35;54;55;52;174;178;103;91;31
1100;Cheignieu-la-Balme;200040350;D1;R84;1;1;5;4;5;2;14;8;12;11;;2;0;3;5;2;10;11;10;20;5
1101;Chevillard;200042935;D1;R84;2;5;5;1;1;18;16;13;7;6;;5;4;2;5;3;16;16;14;12;1
1102;Chevroux;200071371;D1;R84;12;21;34;48;17;96;108;59;42;26;;23;15;47;59;25;95;112;60;49;16
1103;Chevry;240100750;D1;R84;71;41;88;90;43;339;254;78;82;29;;81;69;89;97;49;280;280;90;66;12
1104;Chézery-Forens;240100750;D1;R84;5;7;16;25;14;37;51;28;36;9;;9;9;10;18;11;48;54;25;31;7
1105;Civrieux;200042497;D1;R84;39;48;61;91;59;201;211;111;88;26;;49;45;67;78;62;180;205;128;94;24
1106;Cize;200071751;D1;R84;3;2;5;8;4;14;19;10;9;14;;2;3;7;13;3;18;15;13;10;7
1107;Cleyzieu;240100883;D1;R84;3;5;3;9;0;11;9;8;14;1;;3;2;5;4;3;11;21;11;10;5
1108;Coligny;200071751;D1;R84;17;15;37;55;15;85;108;73;107;108;;12;18;25;48;26;87;104;64;111;48
1109;Collonges;240100750;D1;R84;55;57;103;118;71;246;274;95;93;22;;55;47;70;124;77;249;283;93;81;16
1110;Colomieu;200040350;D1;R84;5;4;1;8;3;15;16;13;13;3;;2;4;4;3;5;12;15;13;15;2
1111;Conand;240100883;D1;R84;1;4;3;3;2;8;14;7;12;3;;1;4;8;8;5;10;18;8;7;6
1112;Condamine;200042935;D1;R84;10;12;19;22;5;63;48;24;14;9;;16;10;16;26;16;54;50;27;24;2
1113;Condeissiat;200069193;D1;R84;12;17;31;42;18;89;82;51;42;34;;14;17;32;41;26;73;75;64;43;14
1114;Confort;240100891;D1;R84;16;18;34;31;10;81;52;37;47;43;;15;23;22;17;13;68;60;34;47;25
1115;Confrançon;200071751;D1;R84;28;28;53;63;35;137;151;68;69;25;;23;26;63;74;46;139;150;81;65;16
1116;Contrevoz;200040350;D1;R84;6;10;28;15;6;47;38;37;44;20;;5;8;18;25;7;38;52;35;44;15
1117;Conzieu;200040350;D1;R84;3;3;8;9;2;15;12;9;8;8;;2;7;10;6;2;11;19;8;9;0
1118;Corbonod;200070852;D1;R84;17;25;43;52;29;102;139;81;90;58;;21;21;48;61;23;107;163;86;85;28
1121;Corlier;200042935;D1;R84;2;1;3;8;6;9;15;5;5;0;;3;3;2;4;4;8;16;11;7;4
1123;Cormoranche-sur-Saône;200070555;D1;R84;13;24;40;58;24;102;126;65;90;26;;18;17;45;71;25;80;138;77;90;28
1124;Cormoz;200071751;D1;R84;14;17;22;31;14;72;59;42;52;22;;8;14;25;24;20;67;78;51;53;17
1125;Corveissiat;200071751;D1;R84;14;9;19;33;10;58;68;40;38;9;;9;11;22;32;11;55;74;33;44;15
1127;Courmangoux;200071751;D1;R84;6;6;20;23;9;34;55;28;49;19;;7;11;19;22;7;37;61;36;47;12
